file_name,publishable,reason,section_similarities,scientific_scores
P079.pdf,No,Total Score: 0.647 (Section Coherence: 0.358; Scientific Rigor: 0.289),"{'abstract': 0.5728501, 'introduction': 0.85811937}","{'abstract': 0.5881536602973938, 'introduction': 0.5696322798728943}"
P078.pdf,Yes,Total Score: 0.704 (Methodology: 0.270; Section Coherence: 0.245; Scientific Rigor: 0.189),"{'abstract': 0.76355827, 'introduction': 0.80296355, 'methodology': 0.83828515, 'results': 0.8565382}","{'abstract': 0.6827457745869955, 'introduction': 0.5769660711288452, 'methodology': 0.6745355824629465, 'results': 0.5876685480276743}"
P067.pdf,No,Total Score: 0.617 (Section Coherence: 0.339; Scientific Rigor: 0.278),"{'abstract': 0.6094052, 'introduction': 0.74516755}","{'abstract': 0.5598531365394592, 'introduction': 0.5521957874298096}"
P071.pdf,Yes,Total Score: 0.723 (Section Coherence: 0.404; Scientific Rigor: 0.318),"{'abstract': 0.715869, 'introduction': 0.90121084}","{'abstract': 0.6556505560874939, 'introduction': 0.6178253769874573}"
P065.pdf,Yes,Total Score: 0.694 (Section Coherence: 0.396; Scientific Rigor: 0.297),"{'abstract': 0.7997053, 'introduction': 0.7857243}","{'abstract': 0.523455003897349, 'introduction': 0.6665031399045672}"
P080.pdf,No,Total Score: 0.642 (Methodology: 0.236; Section Coherence: 0.236; Scientific Rigor: 0.170),"{'abstract': 0.60464, 'introduction': 0.90894014, 'methodology': 0.84716606}","{'abstract': 0.5183049440383911, 'introduction': 0.5914960759026664, 'methodology': 0.5891778320074081}"
P066.pdf,Yes,Total Score: 0.739 (Section Coherence: 0.426; Scientific Rigor: 0.312),"{'abstract': 0.8279846, 'introduction': 0.8767165}","{'abstract': 0.6520888209342957, 'introduction': 0.5975060292652675}"
P062.pdf,Yes,Total Score: 0.688 (Methodology: 0.248; Section Coherence: 0.262; Scientific Rigor: 0.178),"{'abstract': 0.71441126, 'introduction': 0.9202273, 'methodology': 0.93913764, 'results': 0.92048156}","{'abstract': 0.5373631417751312, 'introduction': 0.6730437204241753, 'methodology': 0.6197350084781647, 'results': 0.5395631849765777}"
P073.pdf,Yes,Total Score: 0.681 (Methodology: 0.253; Section Coherence: 0.241; Scientific Rigor: 0.186),"{'abstract': 0.5962125, 'introduction': 0.86539006, 'methodology': 0.90048754, 'results': 0.857304}","{'abstract': 0.6460559765497843, 'introduction': 0.5385693953587458, 'methodology': 0.6326659818490347, 'results': 0.66550502843327}"
P068.pdf,Yes,Total Score: 0.740 (Methodology: 0.299; Section Coherence: 0.261; Scientific Rigor: 0.179),"{'abstract': 0.8408947, 'introduction': 0.8860793, 'methodology': 0.9400306, 'results': 0.81787515}","{'abstract': 0.5472752749919891, 'introduction': 0.5520299077033997, 'methodology': 0.7484604631151471, 'results': 0.5374735593795776}"
P077.pdf,Yes,Total Score: 0.659 (Methodology: 0.235; Section Coherence: 0.251; Scientific Rigor: 0.173),"{'abstract': 0.8162358, 'introduction': 0.87632716, 'methodology': 0.7354639, 'results': 0.92367524}","{'abstract': 0.6350734233856201, 'introduction': 0.535796677072843, 'methodology': 0.5863930384318033, 'results': 0.5494986097017924}"
P072.pdf,Yes,Total Score: 0.695 (Methodology: 0.237; Section Coherence: 0.283; Scientific Rigor: 0.175),{'methodology': 0.9435025},"{'abstract': 0.5786877870559692, 'introduction': 0.579291045665741, 'methodology': 0.591870379447937}"
P069.pdf,Yes,Total Score: 0.655 (Methodology: 0.220; Section Coherence: 0.257; Scientific Rigor: 0.178),"{'abstract': 0.85296214, 'introduction': 0.8263869, 'methodology': 0.90441275, 'results': 0.8421433}","{'abstract': 0.6070515116055807, 'introduction': 0.5510247896114985, 'methodology': 0.551128938084557, 'results': 0.6639300584793091}"
P081.pdf,Yes,Total Score: 0.682 (Methodology: 0.259; Section Coherence: 0.247; Scientific Rigor: 0.176),"{'abstract': 0.7791019, 'introduction': 0.8867008, 'methodology': 0.79809093, 'results': 0.8269152}","{'abstract': 0.613287091255188, 'introduction': 0.5274549614299427, 'methodology': 0.647319233417511, 'results': 0.5612785731043134}"
P070.pdf,No,Total Score: 0.644 (Methodology: 0.219; Section Coherence: 0.251; Scientific Rigor: 0.174),"{'abstract': 0.8162358, 'introduction': 0.87632716, 'methodology': 0.7354639, 'results': 0.92367524}","{'abstract': 0.6854795018831888, 'introduction': 0.5276451210180918, 'methodology': 0.5478141903877258, 'results': 0.5524162093798319}"
P056.pdf,No,Total Score: 0.634 (Methodology: 0.215; Section Coherence: 0.247; Scientific Rigor: 0.171),"{'abstract': 0.7486961, 'introduction': 0.8932691, 'methodology': 0.88412285, 'results': 0.76858497}","{'abstract': 0.6687424182891846, 'introduction': 0.5468293981892722, 'methodology': 0.5382424682378769, 'results': 0.5285629304972562}"
P055.pdf,Yes,Total Score: 0.729 (Section Coherence: 0.418; Scientific Rigor: 0.311),"{'abstract': 0.7587191, 'introduction': 0.9140905}","{'abstract': 0.7058908641338348, 'introduction': 0.5377903580665588}"
P057.pdf,No,Total Score: 0.614 (Section Coherence: 0.328; Scientific Rigor: 0.285),{'introduction': 0.6566325},"{'abstract': 0.5162190198898315, 'introduction': 0.6253627141316732}"
P060.pdf,Yes,Total Score: 0.694 (Section Coherence: 0.403; Scientific Rigor: 0.290),"{'abstract': 0.7658944, 'introduction': 0.8476892}","{'abstract': 0.6152549684047699, 'introduction': 0.5461059297834124}"
P076.pdf,Yes,Total Score: 0.667 (Methodology: 0.233; Section Coherence: 0.262; Scientific Rigor: 0.173),"{'abstract': 0.8818569, 'introduction': 0.8131152, 'methodology': 0.92725277, 'results': 0.8730105}","{'abstract': 0.5867900609970093, 'introduction': 0.577583771944046, 'methodology': 0.5815159786831249, 'results': 0.5563328862190247}"
P061.pdf,No,Total Score: 0.642 (Methodology: 0.219; Section Coherence: 0.253; Scientific Rigor: 0.170),"{'abstract': 0.68136144, 'introduction': 0.9068949, 'methodology': 0.9460012}","{'abstract': 0.6228244503339132, 'introduction': 0.5275908052921295, 'methodology': 0.5468586033040826}"
P059.pdf,Yes,Total Score: 0.666 (Methodology: 0.249; Section Coherence: 0.232; Scientific Rigor: 0.184),"{'abstract': 0.66957504, 'introduction': 0.79657644, 'methodology': 0.8582934}","{'abstract': 0.5994844436645508, 'introduction': 0.613517951965332, 'methodology': 0.6236907362937927}"
P064.pdf,No,Total Score: 0.648 (Methodology: 0.219; Section Coherence: 0.258; Scientific Rigor: 0.171),"{'abstract': 0.8053531, 'introduction': 0.8965585, 'methodology': 0.89691967, 'results': 0.8387583}","{'abstract': 0.5110037624835968, 'introduction': 0.6385058686137199, 'methodology': 0.5464867278933525, 'results': 0.5875637456774712}"
P058.pdf,No,Total Score: 0.612 (Methodology: 0.224; Section Coherence: 0.221; Scientific Rigor: 0.168),"{'abstract': 0.6085626, 'introduction': 0.76197076, 'methodology': 0.8352562}","{'abstract': 0.5552457869052887, 'introduction': 0.5621845126152039, 'methodology': 0.5602596044540405}"
P075.pdf,No,Total Score: 0.606 (Methodology: 0.210; Section Coherence: 0.234; Scientific Rigor: 0.162),"{'abstract': 0.60145104, 'introduction': 0.837872, 'methodology': 0.89982665}","{'abstract': 0.5682118535041809, 'introduction': 0.5294141918420792, 'methodology': 0.5247677895757887}"
P063.pdf,Yes,Total Score: 0.722 (Section Coherence: 0.399; Scientific Rigor: 0.324),"{'abstract': 0.73825175, 'introduction': 0.85657656}","{'abstract': 0.600466251373291, 'introduction': 0.6937462687492371}"
P074.pdf,No,Total Score: 0.642 (Methodology: 0.234; Section Coherence: 0.235; Scientific Rigor: 0.173),"{'abstract': 0.7024491, 'introduction': 0.74533844, 'methodology': 0.90662074}","{'abstract': 0.6198391318321228, 'introduction': 0.5203759670257568, 'methodology': 0.5850515514612198}"
